Folder,Precision Setting,Significant Digits,FP64,FP32,FP16,BF16,E4M3,E5M2
dbscan,1,1,0,36,2,0,2,0
dbscan,1,2,0,36,2,0,2,0
dbscan,1,3,0,36,3,0,1,0
dbscan,1,4,0,36,3,0,1,0
dbscan,1,5,0,36,3,0,1,0
dbscan,1,6,0,36,3,0,1,0
dbscan,1,7,0,36,3,0,1,0
dbscan,1,8,13,23,3,0,1,0
dbscan,1,9,17,19,3,0,1,0
dbscan,1,10,18,19,2,0,1,0
dbscan,2,1,0,36,0,0,0,4
dbscan,2,2,0,36,1,0,0,3
dbscan,2,3,0,36,2,0,0,2
dbscan,2,4,0,36,2,0,0,2
dbscan,2,5,0,36,2,0,0,2
dbscan,2,6,0,36,2,0,0,2
dbscan,2,7,0,36,2,0,0,2
dbscan,2,8,13,23,2,0,0,2
dbscan,2,9,17,19,2,0,0,2
dbscan,2,10,18,19,1,0,0,2
dbscan,3,1,0,15,0,4,21,0
dbscan,3,2,0,15,0,9,16,0
dbscan,3,3,0,18,0,11,11,0
dbscan,3,4,0,26,0,4,10,0
dbscan,3,5,0,26,0,4,10,0
dbscan,3,6,0,26,0,4,10,0
dbscan,3,7,0,26,0,4,10,0
dbscan,3,8,13,13,0,4,10,0
dbscan,3,9,17,9,0,4,10,0
dbscan,3,10,18,8,0,4,10,0
dbscan,4,1,0,15,0,1,0,24
dbscan,4,2,0,15,0,9,0,16
dbscan,4,3,0,18,0,10,0,12
dbscan,4,4,0,26,0,4,0,10
dbscan,4,5,0,26,0,4,0,10
dbscan,4,6,0,26,0,4,0,10
dbscan,4,7,0,26,0,4,0,10
dbscan,4,8,13,13,0,4,0,10
dbscan,4,9,17,9,0,4,0,10
dbscan,4,10,18,8,0,4,0,10
kmeans,1,1,0,25,0,0,2,0
kmeans,1,2,0,25,0,0,2,0
kmeans,1,3,0,25,0,0,2,0
kmeans,1,4,0,25,0,0,2,0
kmeans,1,5,0,25,0,0,2,0
kmeans,1,6,20,5,0,0,2,0
kmeans,1,7,20,5,0,0,2,0
kmeans,1,8,20,5,0,0,2,0
kmeans,1,9,20,5,0,0,2,0
kmeans,1,10,20,5,0,0,2,0
kmeans,2,1,0,25,0,0,0,2
kmeans,2,2,0,25,0,0,0,2
kmeans,2,3,0,25,0,0,0,2
kmeans,2,4,0,25,0,0,0,2
kmeans,2,5,0,25,0,0,0,2
kmeans,2,6,20,5,0,0,0,2
kmeans,2,7,20,5,0,0,0,2
kmeans,2,8,20,5,0,0,0,2
kmeans,2,9,20,5,0,0,0,2
kmeans,2,10,20,5,0,0,0,2
kmeans,3,1,0,25,0,0,2,0
kmeans,3,2,0,25,0,0,2,0
kmeans,3,3,0,25,0,0,2,0
kmeans,3,4,0,25,0,0,2,0
kmeans,3,5,0,25,0,0,2,0
kmeans,3,6,20,5,0,0,2,0
kmeans,3,7,20,5,0,0,2,0
kmeans,3,8,20,5,0,0,2,0
kmeans,3,9,20,5,0,0,2,0
kmeans,3,10,20,5,0,0,2,0
kmeans,4,1,0,25,0,0,0,2
kmeans,4,2,0,25,0,0,0,2
kmeans,4,3,0,25,0,0,0,2
kmeans,4,4,0,25,0,0,0,2
kmeans,4,5,0,25,0,0,0,2
kmeans,4,6,20,5,0,0,0,2
kmeans,4,7,20,5,0,0,0,2
kmeans,4,8,20,5,0,0,0,2
kmeans,4,9,20,5,0,0,0,2
kmeans,4,10,20,5,0,0,0,2
gassnb,1,1,0,23,1,0,2,0
gassnb,1,2,0,23,3,0,0,0
gassnb,1,3,0,23,3,0,0,0
gassnb,1,4,0,23,3,0,0,0
gassnb,1,5,0,23,3,0,0,0
gassnb,1,6,0,23,3,0,0,0
gassnb,1,7,0,23,3,0,0,0
gassnb,1,8,16,8,2,0,0,0
gassnb,1,9,16,8,2,0,0,0
gassnb,1,10,16,8,2,0,0,0
gassnb,2,1,0,23,2,0,0,1
gassnb,2,2,0,23,3,0,0,0
gassnb,2,3,0,23,3,0,0,0
gassnb,2,4,0,23,3,0,0,0
gassnb,2,5,0,23,3,0,0,0
gassnb,2,6,0,23,3,0,0,0
gassnb,2,7,0,23,3,0,0,0
gassnb,2,8,16,8,2,0,0,0
gassnb,2,9,16,8,2,0,0,0
gassnb,2,10,16,8,2,0,0,0
gassnb,3,1,0,17,0,1,8,0
gassnb,3,2,0,17,0,3,6,0
gassnb,3,3,0,19,0,1,6,0
gassnb,3,4,0,19,0,1,6,0
gassnb,3,5,0,19,0,1,6,0
gassnb,3,6,0,19,0,1,6,0
gassnb,3,7,0,19,0,1,6,0
gassnb,3,8,16,3,0,1,6,0
gassnb,3,9,16,3,0,1,6,0
gassnb,3,10,16,3,0,1,6,0
gassnb,4,1,0,17,0,1,0,8
gassnb,4,2,0,17,0,3,0,6
gassnb,4,3,0,19,0,1,0,6
