Folder,Precision Setting,Significant Digits,FP64,FP32,FP16,FP16,BF16,E4M3,E5M2
gmres_tol1,1,1,61,4,0,0,0,0,19
gmres_tol1,1,2,61,4,0,0,0,0,19
gmres_tol1,1,3,61,4,0,0,0,0,19
gmres_tol1,1,4,61,4,0,0,0,0,19
gmres_tol1,1,5,62,4,0,0,0,0,19
gmres_tol1,1,6,62,4,0,0,0,0,19
gmres_tol1,1,7,70,8,0,0,0,0,8
gmres_tol1,1,8,75,3,0,0,0,0,7
gmres_tol1,1,9,77,1,0,0,0,0,7
gmres_tol1,1,10,77,1,0,0,0,0,7
gmres_tol1,2,1,61,4,0,0,2,0,19
gmres_tol1,2,2,61,4,0,0,2,0,19
gmres_tol1,2,3,61,6,0,0,0,0,19
gmres_tol1,2,4,61,6,0,0,0,0,19
gmres_tol1,2,5,62,6,0,0,0,0,18
gmres_tol1,2,6,62,6,0,0,0,0,18
gmres_tol1,2,7,70,8,0,0,0,0,8
gmres_tol1,2,8,75,3,0,0,1,0,7
gmres_tol1,2,9,77,1,0,0,1,0,7
gmres_tol1,2,10,77,1,0,0,1,0,7
gmres_tol2,1,1,61,4,0,0,0,0,19
gmres_tol2,1,2,61,4,0,0,0,0,19
gmres_tol2,1,3,61,4,0,0,0,0,19
gmres_tol2,1,4,61,4,0,0,0,0,19
gmres_tol2,1,5,62,4,0,0,0,0,19
gmres_tol2,1,6,62,4,0,0,0,0,19
gmres_tol2,1,7,62,13,0,0,0,0,8
gmres_tol2,1,8,66,11,0,0,0,0,8
gmres_tol2,1,9,66,12,0,0,0,0,7
gmres_tol2,1,10,66,13,0,0,0,0,7
gmres_tol2,2,1,61,4,0,0,2,0,19
gmres_tol2,2,2,61,4,0,0,2,0,19
gmres_tol2,2,3,61,6,0,0,0,0,19
gmres_tol2,2,4,61,6,0,0,0,0,19
gmres_tol2,2,5,62,6,0,0,0,0,18
gmres_tol2,2,6,62,6,0,0,0,0,18
gmres_tol2,2,7,62,12,0,0,4,0,8
gmres_tol2,2,8,66,8,0,0,5,0,7
gmres_tol2,2,9,66,11,0,0,2,0,7
gmres_tol2,2,10,66,13,0,0,0,0,7
