11/20 09:32:44: 🤘 cadnaPromise 🤘
11/20 09:32:44: Using the compiler: g++
11/20 09:32:44: We are working with 1 file and 86 different types
11/20 09:32:44: The expectation is 1 digits.
11/20 09:32:44: a) Get a reference result with cadna (double)
11/20 09:34:30: b) Check with highest format (Double)
11/20 09:34:50: c) Delta-Debug Single/Double
11/20 09:43:04: d) Delta-Debug bfloat16/Single
11/20 09:53:40: e) Delta-Debug custom(5, 2)/bfloat16
11/20 09:55:08: Loaded matrix: 3140 x 3140 with 540022 non-zeros
Generated b = A * x_true, where x_true = [1, 1, ..., 1]
A.n=3140, A.nnz=540022
Initial norm of residual: 4
Iteration 10: Residual = 0.0416667
Iteration 20: Residual = 0.0357143
Iteration 30: Residual = 0.0357143
Iteration 40: Residual = 0.0357143
Iteration 50: Residual = 0.0357143
Iteration 60: Residual = 0.0357143
Iteration 70: Residual = 0.0357143
Iteration 80: Residual = 0.0357143
Iteration 90: Residual = 0.0357143
Iteration 100: Residual = 0.0357143
Iteration 110: Residual = 0.0642857
Iteration 120: Residual = 0.0642857
Iteration 130: Residual = 0.0642857
Iteration 140: Residual = 0.0642857
Iteration 150: Residual = 0.0642857
Iteration 160: Residual = 0.0642857
Iteration 170: Residual = 0.0642857
Iteration 180: Residual = 0.0642857
Iteration 190: Residual = 0.0642857
Iteration 200: Residual = 0.0642857
Iteration 210: Residual = 0.135
Iteration 220: Residual = 0.118125
Iteration 230: Residual = 0.118125
Iteration 240: Residual = 0.118125
Iteration 250: Residual = 0.084375
Iteration 260: Residual = 0.084375
Iteration 270: Residual = 0.084375
Iteration 280: Residual = 0.084375
Iteration 290: Residual = 0.084375
Iteration 300: Residual = 0.084375
Iteration 310: Residual = 0.214286
Iteration 320: Residual = 0.1875
Iteration 330: Residual = 0.1875
Iteration 340: Residual = 0.1875
Iteration 350: Residual = 0.1875
Iteration 360: Residual = 0.1875
Iteration 370: Residual = 0.1875
Iteration 380: Residual = 0.128571
Iteration 390: Residual = 0.128571
Iteration 400: Residual = 0.128571
Iteration 410: Residual = 0.18375
Iteration 420: Residual = 0.1575
Iteration 430: Residual = 0.1575
Iteration 440: Residual = 0.1575
Iteration 450: Residual = 0.1575
Iteration 460: Residual = 0.1575
Iteration 470: Residual = 0.1575
Iteration 480: Residual = 0.1575
Iteration 490: Residual = 0.1575
Iteration 500: Residual = 0.1575
Iteration 510: Residual = 0.234375
Iteration 520: Residual = 0.234375
Iteration 530: Residual = 0.234375
Iteration 540: Residual = 0.205078
Iteration 550: Residual = 0.205078
Iteration 560: Residual = 0.205078
Iteration 570: Residual = 0.205078
Iteration 580: Residual = 0.205078
Iteration 590: Residual = 0.205078
Iteration 600: Residual = 0.205078
Iteration 610: Residual = 0.535714
Iteration 620: Residual = 0.428571
Iteration 630: Residual = 0.367347
Iteration 640: Residual = 0.367347
Iteration 650: Residual = 0.367347
Iteration 660: Residual = 0.367347
Iteration 670: Residual = 0.367347
Iteration 680: Residual = 0.367347
Iteration 690: Residual = 0.367347
Iteration 700: Residual = 0.367347
Iteration 710: Residual = 0.685714
Iteration 720: Residual = 0.514286
Iteration 730: Residual = 0.514286
Iteration 740: Residual = 0.514286
Iteration 750: Residual = 0.514286
Iteration 760: Residual = 0.514286
Iteration 770: Residual = 0.440816
Iteration 780: Residual = 0.440816
Iteration 790: Residual = 0.385714
Iteration 800: Residual = 0.385714
Iteration 810: Residual = 0.98
Iteration 820: Residual = 0.784
Iteration 830: Residual = 0.784
Iteration 840: Residual = 0.672
Iteration 850: Residual = 0.672
Iteration 860: Residual = 0.672
Iteration 870: Residual = 0.672
Iteration 880: Residual = 0.672
Iteration 890: Residual = 0.672
Iteration 900: Residual = 0.672
Iteration 910: Residual = 1.94444
Iteration 920: Residual = 1.94444
Iteration 930: Residual = 1.94444
Iteration 940: Residual = 1.27604
Iteration 950: Residual = 1.11654
Iteration 960: Residual = 1.11654
Iteration 970: Residual = 1.11654
Iteration 980: Residual = 0.957031
Iteration 990: Residual = 0.957031
Iteration 1000: Residual = 0.957031
Iteration 1010: Residual = 2.1
Iteration 1020: Residual = 1.344
Iteration 1030: Residual = 0.987429
Iteration 1040: Residual = 0.987429
Iteration 1050: Residual = 0.987429
Iteration 1060: Residual = 0.987429
Iteration 1070: Residual = 0.846367
Iteration 1080: Residual = 0.846367
Iteration 1090: Residual = 0.846367
Iteration 1100: Residual = 0.846367
Iteration 1110: Residual = 3
Iteration 1120: Residual = 2.57143
Iteration 1130: Residual = 2.57143
Iteration 1140: Residual = 2.25
Iteration 1150: Residual = 2.25
Iteration 1160: Residual = 1.92857
Iteration 1170: Residual = 1.92857
Iteration 1180: Residual = 1.92857
Iteration 1190: Residual = 1.92857
Iteration 1200: Residual = 1.92857
Iteration 1210: Residual = 2.94
Iteration 1220: Residual = 2.94
Iteration 1230: Residual = 2.94
Iteration 1240: Residual = 2.205
Iteration 1250: Residual = 2.205
Iteration 1260: Residual = 2.205
Iteration 1270: Residual = 2.205
Iteration 1280: Residual = 2.205
Iteration 1290: Residual = 2.205
Iteration 1300: Residual = 2.205
Iteration 1310: Residual = 4.7619
Iteration 1320: Residual = 3.57143
Iteration 1330: Residual = 3.57143
Iteration 1340: Residual = 3.57143
Iteration 1350: Residual = 3.57143
Iteration 1360: Residual = 2.85714
Iteration 1370: Residual = 2.85714
Iteration 1380: Residual = 2.85714
Iteration 1390: Residual = 2.85714
Iteration 1400: Residual = 2.85714
Iteration 1410: Residual = 4.62857
Iteration 1420: Residual = 4.62857
Iteration 1430: Residual = 4.05
Iteration 1440: Residual = 4.05
Iteration 1450: Residual = 4.05
Iteration 1460: Residual = 4.05
Iteration 1470: Residual = 4.05
Iteration 1480: Residual = 3.47143
Iteration 1490: Residual = 3.47143
Iteration 1500: Residual = 3.47143
Iteration 1510: Residual = 11.2
