Folder,Precision Setting,Significant Digits,FP64,FP32,FP16,FP16,BF16,E4M3,E5M2
ir3_tol1,1,1,0,79,0,0,0,0,17
ir3_tol1,1,2,0,79,0,0,0,0,17
ir3_tol1,1,3,0,79,0,0,0,0,17
ir3_tol1,1,4,0,79,0,0,0,0,17
ir3_tol1,1,5,73,11,0,0,0,0,12
ir3_tol1,1,6,73,11,0,0,0,0,12
ir3_tol1,1,7,73,11,0,0,0,0,12
ir3_tol1,1,8,73,11,0,0,0,0,12
ir3_tol1,1,9,73,11,0,0,0,0,12
ir3_tol1,1,10,73,11,0,0,0,0,12
ir3_tol1,2,1,0,79,0,0,0,0,17
ir3_tol1,2,2,0,79,0,0,0,0,17
ir3_tol1,2,3,0,79,0,0,0,0,17
ir3_tol1,2,4,0,79,0,0,0,0,17
ir3_tol1,2,5,73,10,0,0,0,0,13
ir3_tol1,2,6,73,10,0,0,0,0,13
ir3_tol1,2,7,73,10,0,0,0,0,13
ir3_tol1,2,8,73,10,0,0,0,0,13
ir3_tol1,2,9,73,10,0,0,0,0,13
ir3_tol1,2,10,73,10,0,0,0,0,13
ir3_tol2,1,1,0,79,0,0,0,0,17
ir3_tol2,1,2,0,79,0,0,0,0,17
ir3_tol2,1,3,0,79,0,0,0,0,17
ir3_tol2,1,4,74,9,0,0,0,0,13
ir3_tol2,1,5,74,9,0,0,0,0,13
ir3_tol2,1,6,74,9,0,0,0,0,13
ir3_tol2,1,7,74,9,0,0,0,0,13
ir3_tol2,1,8,74,9,0,0,0,0,13
ir3_tol2,1,9,74,9,0,0,0,0,13
ir3_tol2,1,10,74,9,0,0,0,0,13
ir3_tol2,2,1,0,79,0,0,0,0,17
ir3_tol2,2,2,0,79,0,0,0,0,17
ir3_tol2,2,3,0,79,0,0,0,0,17
ir3_tol2,2,4,74,9,0,0,0,0,13
ir3_tol2,2,5,74,9,0,0,0,0,13
ir3_tol2,2,6,74,9,0,0,0,0,13
ir3_tol2,2,7,74,9,0,0,0,0,13
ir3_tol2,2,8,74,9,0,0,0,0,13
ir3_tol2,2,9,74,9,0,0,0,0,13
ir3_tol2,2,10,74,9,0,0,0,0,13
