Precision Setting,Significant Digits,FP64,FP32,FP16,FP16,BF16,E4M3,E5M2
1,1,0,79,0,0,0,0,17
1,2,0,79,0,0,0,0,17
1,3,0,79,0,0,0,0,17
1,4,0,79,0,0,0,0,17
1,5,73,11,0,0,0,0,12
1,6,73,11,0,0,0,0,12
1,7,73,11,0,0,0,0,12
1,8,73,11,0,0,0,0,12
1,9,73,11,0,0,0,0,12
1,10,73,11,0,0,0,0,12
2,1,0,79,0,0,0,0,17
2,2,0,79,0,0,0,0,17
2,3,0,79,0,0,0,0,17
2,4,0,79,0,0,0,0,17
2,5,73,10,0,0,0,0,13
2,6,73,10,0,0,0,0,13
2,7,73,10,0,0,0,0,13
2,8,73,10,0,0,0,0,13
2,9,73,10,0,0,0,0,13
2,10,73,10,0,0,0,0,13
