,feature1,feature2,true_label,cluster
1,0.430884,-1.49971,1,0
2,1.18386,-1.06184,1,0
3,-0.495067,-0.281757,0,1
4,-0.565215,-0.24895,0,1
5,-0.791427,-0.393422,0,1
6,-0.365445,-1.06419,1,0
7,0.26342,-1.4862,1,0
8,-1.34475,-1.0157,0,1
9,0.93723,-1.34645,1,0
10,0.0243524,-0.39745,0,1
11,-0.272616,-1.07627,1,0
12,1.29363,-0.872428,1,0
13,-1.23658,-0.854917,0,1
14,1.24279,-1.04044,1,0
15,0.4878,-0.868989,0,1
16,0.898059,-1.38984,1,0
17,1.28545,-0.791254,1,0
18,-1.11306,-0.696237,0,1
19,-0.614227,-0.342091,0,1
20,0.42772,-0.899701,0,1
21,0.680167,-1.42192,1,0
22,0.569169,-1.47865,1,0
23,0.632571,-1.50839,1,0
24,0.865986,-1.43106,1,0
25,1.20191,-0.957646,1,0
26,-0.638872,-0.319674,0,1
27,1.38094,-0.875897,1,0
28,1.23071,-0.82678,1,0
29,0.886864,-1.37572,1,0
30,1.0146,-1.3737,1,0
31,0.358219,-1.42854,1,0
32,-1.18774,-0.66807,0,1
33,1.1249,-1.37469,1,0
34,0.0373213,-1.366,1,0
35,0.183573,-0.497846,0,1
36,-0.295808,-0.39324,0,1
37,-0.585943,-0.252499,0,1
38,-0.646482,-0.273953,0,1
39,0.410865,-1.46152,1,0
40,0.373821,-0.875876,0,1
41,1.10488,-1.08847,1,0
42,-0.56973,-0.395004,0,1
43,1.06967,-1.1677,1,0
44,-0.292265,-1.02838,1,0
45,0.210624,-1.32715,1,0
46,-0.424656,-0.301818,0,1
47,-0.392993,-0.382704,0,1
48,-0.206629,-0.336798,0,1
49,-1.32661,-1.00139,0,1
50,0.000571554,-1.47402,1,0
51,-1.25847,-0.658935,0,1
52,-1.08054,-0.479097,0,1
53,0.536747,-1.5601,1,0
54,1.08194,-1.40979,1,0
55,-0.989591,-0.525698,0,1
56,-1.25484,-0.946014,0,1
57,0.368598,-0.840284,0,1
58,-0.738325,-0.353822,0,1
59,-0.142513,-0.279759,0,1
60,-0.264002,-1.18087,1,0
61,-1.28802,-0.74583,0,1
62,-0.94526,-0.578005,0,1
63,-0.738399,-0.388072,0,1
64,0.32247,-0.951221,0,1
65,-0.326309,-0.872403,1,0
66,-0.823347,-0.421574,0,1
67,-0.170801,-0.282732,0,1
68,0.446841,-1.39983,1,0
69,0.901668,-1.40812,1,0
70,0.214541,-0.516438,0,1
71,-0.135992,-0.259867,0,1
72,-0.19536,-1.04796,1,0
73,-0.257375,-0.772136,1,0
74,-0.119284,-0.266017,0,1
75,-1.15567,-0.988894,0,1
76,1.22345,-1.15858,1,0
77,-1.05555,-0.820919,0,1
78,-0.943598,-0.581429,0,1
79,-0.685846,-0.336885,0,1
80,-0.219309,-1.2551,1,0
81,0.0402126,-1.36913,1,0
82,0.410733,-0.814488,0,1
83,0.034946,-0.478673,0,1
84,-0.427199,-0.952099,1,0
85,-0.350117,-0.952008,1,0
86,0.494884,-0.905978,0,1
87,-1.02836,-0.593781,0,1
88,-0.193999,-1.13725,1,0
89,-0.352179,-0.536185,1,1
90,-0.218792,-1.23548,1,0
91,0.471206,-1.59193,1,0
92,0.114311,-0.392111,0,1
93,-0.132142,-0.458524,0,1
94,1.20107,-1.16175,1,0
95,0.206519,-1.43761,1,0
96,-0.817051,-0.297414,0,1
97,-0.490227,-0.247772,0,1
98,0.353064,-0.855172,0,1
99,0.563552,-1.49504,1,0
100,-0.548164,-0.319764,0,1
101,0.0804435,-1.46998,1,0
102,-1.15239,-0.935043,0,1
103,0.503007,-1.54367,1,0
104,0.24453,-1.58948,1,0
105,-0.726708,-0.315631,0,1
106,0.340344,-0.991346,0,1
107,0.453219,-0.926833,0,1
108,0.452599,-1.53154,1,0
109,0.578394,-1.06292,0,1
110,-0.313203,-1.17148,1,0
111,-0.751566,-0.379256,0,1
112,1.04386,-1.31871,1,0
113,-1.18865,-1.18912,0,1
114,0.10828,-0.581683,0,1
115,0.383537,-0.647853,0,1
116,-0.532051,-0.337637,0,1
117,-0.274492,-0.785978,1,0
118,0.22201,-0.616238,0,1
119,0.361474,-0.763984,0,1
120,0.275824,-1.52403,1,0
121,0.0906368,-1.32182,1,0
122,1.20363,-1.1936,1,0
123,1.17025,-0.920205,1,0
124,-0.70705,-0.30171,0,1
125,0.230872,-0.654247,0,1
126,0.835751,-1.41169,1,0
127,0.986654,-1.33626,1,0
128,-0.464505,-0.715589,1,0
129,0.795499,-1.52969,1,0
130,-0.731421,-0.349159,0,1
131,0.876195,-1.39356,1,0
