centroid_index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
0,4.05588,-4.27886,5.03808,9.33634,-5.2561,1.45518,2.09467,1.37493,-5.55223,8.75092,-1.00955,6.9205,4.32905,-4.36127,5.96402,-2.04196,7.55391,1.64669,7.74741,4.02672
1,4.5073,0.0359684,9.09923,2.91858,-1.53148,2.1585,-9.62154,-4.01559,3.21385,-4.2105,2.3644,-1.35727,-7.23731,-3.98841,1.42735,1.81008,1.51896,3.09472,3.00436,-1.33593
2,3.07943,-4.82689,4.4841,9.16575,-4.83326,1.51914,1.69889,1.53686,-5.50379,9.33566,-1.07162,7.00976,3.74678,-3.72303,6.5211,-2.09097,7.73376,1.50582,7.62355,3.70351
3,-3.63593,-1.6697,-8.7011,3.84584,1.2966,-4.70504,0.488966,-8.11629,1.53259,8.61155,-3.56633,3.36321,-7.32685,4.37064,-4.18581,-6.3219,1.726,-9.56671,6.57706,-9.86402
4,3.97784,-0.934126,4.46381,7.40434,9.48308,7.14508,-9.80176,-2.80458,4.6246,-6.5617,0.380244,-8.94662,-6.01114,-9.57624,5.8908,-5.49601,-3.14125,8.5651,4.02368,-9.35612
5,7.93915,-2.64632,-1.26644,7.8062,6.17719,4.14448,-7.97836,8.34966,4.28148,9.98816,-6.96459,7.38875,-6.76394,2.29384,-7.5639,6.96059,6.18777,1.388,-1.84267,-8.57272
6,-6.8153,2.15934,1.56522,-5.2896,8.87308,2.3399,0.771409,1.41708,4.52535,-3.76838,-1.74227,-5.43417,-6.24494,9.02074,4.82259,-0.0026811,-5.78366,-5.21142,-9.10761,-1.47275
7,5.29836,5.12068,0.625134,3.25715,-4.58882,2.86893,-4.20158,8.36112,4.82069,-2.02905,0.565535,3.04416,0.238935,4.96541,-9.10423,-2.955,-3.67774,4.4662,7.19018,5.52207
8,-4.86388,-4.54385,3.55381,-8.00242,-1.37577,0.391912,0.326492,-7.74932,1.57375,-5.42835,5.4619,-0.922767,9.65756,-2.90895,-0.550724,-7.98292,-0.650363,-6.23726,-2.36997,-6.38065
9,-6.64665,2.80447,1.52825,-5.13411,8.50164,2.13982,0.619051,2.06806,4.62464,-3.76098,-2.41295,-6.15096,-6.26246,8.77494,4.70158,-0.374679,-5.22427,-4.63094,-8.50731,-1.20741
