point_index,cluster_label
0,6
1,7
2,1
3,6
4,7
5,0
6,5
7,5
8,9
9,5
10,4
11,4
12,8
13,7
14,2
15,6
16,8
17,3
18,2
19,7
20,8
21,6
22,2
23,0
24,1
25,1
26,7
27,2
28,6
29,4
30,0
31,5
32,8
33,9
34,5
35,9
36,0
37,2
38,8
39,3
40,5
41,8
42,5
43,4
44,0
45,1
46,8
47,2
48,6
49,5
50,9
51,5
52,3
53,7
54,7
55,7
56,2
57,7
58,6
59,5
60,7
61,2
62,5
63,2
64,4
65,6
66,1
67,9
68,8
69,6
70,9
71,1
72,5
73,0
74,6
75,7
76,8
77,9
78,3
79,9
80,3
81,7
82,4
83,1
84,1
85,8
86,9
87,3
88,0
89,6
90,4
91,1
92,2
93,7
94,2
95,1
96,0
97,1
98,4
99,6
100,3
101,7
102,4
103,1
104,7
105,0
106,4
107,1
108,2
109,2
110,7
111,4
112,8
113,2
114,8
115,4
116,8
117,0
118,9
119,9
120,8
121,8
122,9
123,8
124,3
125,8
126,3
127,5
128,2
129,3
130,7
131,8
132,9
133,3
134,0
135,2
136,6
137,9
138,8
139,5
140,4
141,2
142,7
143,8
144,9
145,9
146,2
147,2
148,0
149,1
150,8
151,0
152,1
153,6
154,1
155,5
156,8
157,3
158,0
159,3
160,5
161,2
162,4
163,5
164,3
165,3
166,4
167,7
168,4
169,7
170,8
171,2
172,0
173,2
174,1
175,8
176,4
177,4
178,5
179,0
180,0
181,2
182,6
183,2
184,2
185,0
186,0
187,1
188,6
189,5
190,6
191,6
192,7
193,1
194,8
195,3
196,5
197,4
198,9
199,9
200,6
201,1
202,6
203,9
204,4
205,6
206,8
207,8
208,2
209,0
210,1
211,6
212,1
213,6
214,5
215,2
216,2
217,9
218,6
219,3
220,1
221,9
222,4
223,9
224,5
225,3
226,8
227,7
228,6
229,3
230,0
231,1
232,3
233,3
234,4
235,9
236,1
237,7
238,3
239,2
240,7
241,8
242,8
243,7
244,8
245,2
246,4
247,4
248,8
249,0
250,1
251,3
252,1
253,0
254,9
255,2
256,3
257,5
258,8
259,1
260,1
261,0
262,4
263,4
264,3
265,4
266,1
267,4
268,9
269,6
270,9
271,2
272,4
273,9
274,7
275,4
276,9
277,0
278,3
279,1
280,6
281,7
282,1
283,5
284,1
285,7
286,4
287,6
288,6
289,1
290,2
291,6
292,1
293,9
294,5
295,9
296,0
297,2
298,8
299,6
300,6
301,6
302,2
303,3
304,3
305,5
306,9
307,4
308,9
309,6
310,1
311,7
312,3
313,2
314,6
315,4
316,9
317,0
318,0
319,2
320,3
321,5
322,0
323,2
324,1
325,7
326,8
327,3
328,0
329,2
330,3
331,4
332,3
333,3
334,4
335,4
336,6
337,1
338,1
339,0
340,8
341,2
342,5
343,8
344,2
345,7
346,1
347,0
348,7
349,4
350,5
351,0
352,3
353,4
354,6
355,5
356,4
357,0
358,0
359,1
360,4
361,8
362,1
363,6
364,6
365,6
366,8
367,6
368,6
369,1
370,7
371,7
372,2
373,9
374,9
375,8
376,1
377,0
378,2
379,4
380,1
381,0
382,7
383,4
384,5
385,1
386,1
387,0
388,8
389,3
390,7
391,8
392,9
393,2
394,0
395,6
396,6
397,9
398,8
399,2
400,5
401,5
402,7
403,6
404,9
405,9
406,3
407,0
408,5
409,6
410,5
411,2
412,5
413,5
414,8
415,3
416,6
417,3
418,0
419,8
420,9
421,5
422,9
423,6
424,4
425,5
426,7
427,3
428,6
429,9
430,4
431,0
432,2
433,7
434,5
435,3
436,2
437,1
438,8
439,9
440,6
441,3
442,4
443,5
444,6
445,5
446,9
447,4
448,3
449,3
450,1
451,6
452,1
453,7
454,5
455,9
456,7
457,6
458,8
459,9
460,1
461,6
462,1
463,9
464,3
465,6
466,6
467,0
468,1
469,9
470,9
471,8
472,9
473,5
474,6
475,1
476,2
477,3
478,4
479,7
480,7
481,3
482,3
483,1
484,3
485,3
486,6
487,2
488,0
489,0
490,4
491,1
492,7
493,9
494,9
495,5
496,1
497,4
498,1
499,0
500,8
501,1
502,6
503,4
504,6
505,6
506,2
507,9
508,2
509,5
510,4
511,1
512,9
513,5
514,6
515,7
516,5
517,0
518,6
519,4
520,8
521,9
522,5
523,5
524,7
525,0
526,8
527,6
528,8
529,1
530,2
531,6
532,7
533,4
534,2
535,1
536,8
537,8
538,7
539,1
540,9
541,6
542,0
543,7
544,2
545,8
546,1
547,1
548,9
549,8
550,4
551,5
552,4
553,6
554,7
555,8
556,5
557,9
558,6
559,4
560,9
561,2
562,2
563,7
564,4
565,0
566,8
567,8
568,5
569,4
570,7
571,0
572,9
573,7
574,4
575,7
576,3
577,4
578,3
579,8
580,8
581,4
582,4
583,2
584,5
585,6
586,2
587,1
588,4
589,1
590,2
591,5
592,5
593,0
594,5
595,4
596,8
597,8
598,3
599,6
600,6
601,4
602,3
603,2
604,8
605,3
606,5
607,4
608,0
609,0
610,6
611,5
612,8
613,6
614,6
615,2
616,5
617,0
618,2
619,4
620,5
621,2
622,0
623,2
624,4
625,3
626,2
627,7
628,6
629,2
630,9
631,0
632,5
633,3
634,3
635,2
636,9
637,4
638,5
639,3
640,8
641,8
642,9
643,3
644,0
645,0
646,9
647,5
648,9
649,5
650,4
651,1
652,5
653,6
654,0
655,4
656,5
657,8
658,8
659,0
660,0
661,1
662,0
663,9
664,8
665,2
666,7
667,5
668,5
669,0
670,2
671,7
672,6
673,4
674,0
675,5
676,6
677,3
678,1
679,8
680,3
681,7
682,3
683,3
684,3
685,1
686,6
687,0
688,5
689,4
690,6
691,6
692,4
693,2
694,8
695,2
696,4
697,5
698,9
699,8
700,5
701,2
702,6
703,4
704,6
705,7
706,5
707,4
708,1
709,9
710,3
711,9
712,2
713,4
714,1
715,2
716,1
717,5
718,1
719,1
720,8
721,2
722,5
723,3
724,4
725,2
726,7
727,3
728,7
729,1
730,0
731,5
732,1
733,8
734,1
735,2
736,5
737,0
738,0
739,6
740,3
741,2
742,2
743,0
744,7
745,2
746,1
747,4
748,8
749,9
750,0
751,4
752,7
753,8
754,5
755,1
756,5
757,2
758,1
759,1
760,1
761,1
762,2
763,8
764,9
765,7
766,2
767,4
768,1
769,6
770,1
771,8
772,6
773,8
774,6
775,6
776,1
777,6
778,8
779,9
780,0
781,8
782,7
783,3
784,1
785,3
786,2
787,5
788,0
789,2
790,0
791,4
792,3
793,3
794,2
795,9
796,5
797,5
798,7
799,1
800,7
801,8
802,7
803,7
804,3
805,9
806,3
807,0
808,5
809,6
810,0
811,4
812,7
813,2
814,2
815,8
816,0
817,8
818,7
819,4
820,2
821,8
822,2
823,5
824,7
825,7
826,0
827,3
828,2
829,8
830,5
831,1
832,3
833,0
834,7
835,2
836,7
837,6
838,7
839,5
840,8
841,3
842,2
843,1
844,6
845,1
846,7
847,5
848,4
849,5
850,1
851,2
852,6
853,8
854,1
855,4
856,3
857,3
858,5
859,9
860,8
861,7
862,6
863,6
864,6
865,2
866,0
867,2
868,5
869,9
870,6
871,1
872,8
873,5
874,5
875,6
876,3
877,6
878,9
879,5
880,9
881,3
882,4
883,5
884,8
885,3
886,9
887,9
888,8
889,8
890,6
891,4
892,5
893,7
894,2
895,3
896,1
897,9
898,8
899,3
900,3
901,8
902,7
903,8
904,8
905,1
906,4
907,3
908,9
909,3
910,9
911,7
912,3
913,1
914,7
915,4
916,9
917,1
918,4
919,3
920,9
921,6
922,9
923,7
924,7
925,3
926,1
927,6
928,9
929,3
930,0
931,7
932,1
933,1
934,7
935,9
936,1
937,7
938,8
939,8
940,2
941,1
942,2
943,3
944,0
945,7
946,2
947,1
948,7
949,4
950,6
951,2
952,4
953,3
954,2
955,6
956,3
957,1
958,2
959,3
960,6
961,0
962,0
963,3
964,7
965,9
966,4
967,7
968,9
969,9
970,4
971,6
972,2
973,5
974,5
975,7
976,6
977,4
978,4
979,9
980,0
981,4
982,2
983,1
984,1
985,0
986,8
987,1
988,0
989,8
990,8
991,3
992,0
993,3
994,3
995,7
996,6
997,4
998,6
999,1
1000,4
1001,7
1002,5
1003,9
1004,9
1005,9
1006,8
1007,2
1008,9
1009,8
1010,2
1011,3
1012,9
1013,2
1014,2
1015,9
1016,8
1017,9
1018,0
1019,6
1020,9
1021,3
1022,2
1023,1
1024,3
1025,5
1026,7
1027,2
1028,0
1029,4
1030,8
1031,6
1032,8
1033,5
1034,5
1035,5
1036,5
1037,4
1038,0
1039,1
1040,8
1041,0
1042,1
1043,4
1044,7
1045,3
1046,0
1047,5
1048,5
1049,0
1050,8
1051,9
1052,7
1053,2
1054,2
1055,9
1056,7
1057,8
1058,2
1059,2
1060,7
1061,6
1062,1
1063,5
1064,3
1065,8
1066,5
1067,5
1068,7
1069,9
1070,8
1071,2
1072,4
1073,9
1074,0
1075,9
1076,9
1077,4
1078,6
1079,5
1080,7
1081,4
1082,5
1083,4
1084,1
1085,0
1086,0
1087,2
1088,3
1089,4
1090,6
1091,4
1092,9
1093,9
1094,2
1095,3
1096,5
1097,6
1098,8
1099,6
1100,3
1101,9
1102,3
1103,1
1104,0
1105,3
1106,6
1107,3
1108,3
1109,2
1110,4
1111,8
1112,9
1113,1
1114,2
1115,2
1116,6
1117,6
1118,7
1119,5
1120,1
1121,4
1122,6
1123,8
1124,0
1125,6
1126,3
1127,9
1128,5
1129,7
1130,5
1131,9
1132,7
1133,9
1134,8
1135,4
1136,0
1137,1
1138,3
1139,2
1140,2
1141,4
1142,8
1143,1
1144,2
1145,6
1146,6
1147,9
1148,4
1149,5
1150,3
1151,9
1152,1
1153,4
1154,2
1155,8
1156,5
1157,5
1158,8
1159,0
1160,8
1161,3
1162,4
1163,0
1164,5
1165,9
1166,2
1167,9
1168,4
1169,0
1170,6
1171,5
1172,1
1173,3
1174,3
1175,3
1176,2
1177,6
1178,6
1179,9
1180,8
1181,5
1182,9
1183,7
1184,7
1185,8
1186,6
1187,8
1188,8
1189,8
1190,0
1191,3
1192,0
1193,3
1194,2
1195,2
1196,5
1197,6
1198,5
1199,4
1200,1
1201,9
1202,5
1203,0
1204,2
1205,5
1206,8
1207,8
1208,5
1209,7
1210,7
1211,5
1212,1
1213,7
1214,3
1215,1
1216,9
1217,1
1218,9
1219,0
1220,5
1221,2
1222,0
1223,2
1224,3
1225,4
1226,4
1227,7
1228,8
1229,8
1230,2
1231,8
1232,4
1233,9
1234,0
1235,9
1236,6
1237,4
1238,4
1239,3
1240,3
1241,9
1242,6
1243,9
1244,8
1245,1
1246,6
1247,6
1248,6
1249,5
1250,0
1251,9
1252,0
1253,0
1254,9
1255,7
1256,9
1257,9
1258,5
1259,8
1260,5
1261,5
1262,3
1263,1
1264,0
1265,7
1266,6
1267,1
1268,2
1269,1
1270,0
1271,3
1272,8
1273,6
1274,8
1275,7
1276,6
1277,9
1278,5
1279,8
1280,3
1281,3
1282,1
1283,7
1284,7
1285,0
1286,9
1287,0
1288,5
1289,9
1290,5
1291,7
1292,2
1293,9
1294,4
1295,5
1296,4
1297,2
1298,8
1299,8
1300,6
1301,2
1302,5
1303,4
1304,9
1305,2
1306,7
1307,5
1308,7
1309,7
1310,2
1311,4
1312,1
1313,5
1314,5
1315,2
1316,2
1317,9
1318,7
1319,2
1320,8
1321,2
1322,0
1323,3
1324,5
1325,2
1326,8
1327,0
1328,6
1329,0
1330,1
1331,5
1332,7
1333,9
1334,6
1335,1
1336,2
1337,8
1338,5
1339,0
1340,2
1341,4
1342,3
1343,3
1344,4
1345,6
1346,5
1347,6
1348,5
1349,1
1350,3
1351,6
1352,2
1353,9
1354,7
1355,9
1356,1
1357,3
1358,9
1359,3
1360,5
1361,7
1362,8
1363,3
1364,4
1365,7
1366,5
1367,5
1368,3
1369,8
1370,1
1371,9
1372,1
1373,4
1374,6
1375,2
1376,3
1377,3
1378,7
1379,1
1380,2
1381,5
1382,5
1383,1
1384,2
1385,7
1386,2
1387,6
1388,3
1389,5
1390,4
1391,9
1392,9
1393,0
1394,1
1395,4
1396,3
1397,2
1398,3
1399,0
1400,8
1401,7
1402,2
1403,1
1404,2
1405,4
1406,8
1407,0
1408,9
1409,2
1410,3
1411,5
1412,1
1413,6
1414,3
1415,6
1416,3
1417,6
1418,9
1419,3
1420,4
1421,9
1422,3
1423,0
1424,0
1425,1
1426,3
1427,6
1428,7
1429,3
1430,6
1431,4
1432,4
1433,3
1434,2
1435,2
1436,5
1437,7
1438,7
1439,1
1440,5
1441,5
1442,0
1443,7
1444,0
1445,9
1446,6
1447,7
