index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,reconstructed_0,reconstructed_1,reconstructed_2,reconstructed_3,reconstructed_4,reconstructed_5,reconstructed_6,reconstructed_7,reconstructed_8,reconstructed_9,reconstructed_10,reconstructed_11,reconstructed_12,reconstructed_13,reconstructed_14,reconstructed_15,reconstructed_16,reconstructed_17,reconstructed_18,reconstructed_19
0,0,0,0,0,0,0,0,1.63049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326098,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63049,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,-1.49826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00299652,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49826,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,-1.67477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00351842,0,0,0,0,0,0,0,0,0,0,0,-1.67477,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0.244532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,-1.48057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0.623296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,-0.894284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017779,0,0,0,0,0,0,0,0,0,0,-0.894284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1.75992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00349884,0,0,0,0,0,0,0,0,0,0,1.75992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1.22683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,-1.09599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
