Index,Solution
0,0.998897
1,0.778155
2,0.648512
3,0.607326
4,0.95611
5,0.608779
6,0.607665
7,0.615794
8,0.877059
9,0.767609
10,0.643597
11,0.643169
12,0.667827
13,0.607608
14,0.607041
15,0.607058
16,0.607058
17,0.607058
18,0.607058
19,0.608381
20,0.608382
21,0.608383
22,0.608383
23,0.608383
24,0.608383
25,0.618399
26,0.607006
27,0.606983
28,0.606981
29,0.607011
30,0.615028
31,0.615467
32,0.616156
33,0.65311
34,0.642605
35,0.61068
36,0.608616
37,0.619575
38,0.618766
39,0.606465
40,0.606605
41,0.606586
42,0.606322
43,0.606631
44,0.606348
45,0.606936
46,0.606936
47,0.606935
48,0.606177
49,0.605828
50,0.605806
51,0.605775
52,0.606496
53,0.606519
54,0.606516
55,0.599166
56,0.601283
57,0.601204
58,0.601475
59,0.602307
60,0.597227
61,0.604585
62,0.599167
63,0.599429
64,0.599166
65,0.601287
66,0.601492
67,0.602294
68,0.601226
69,0.601212
70,0.600115
71,0.600747
72,0.600703
73,0.603606
74,0.603675
75,0.604562
76,0.604504
77,0.6056
78,0.606511
79,0.606163
80,0.60618
81,0.604876
82,0.604876
83,0.604391
84,0.604478
85,0.604404
86,0.604406
87,0.60439
88,0.60599
89,0.603376
90,0.604444
91,0.604469
92,0.604506
93,0.604859
94,0.604398
95,0.606778
96,0.60442
97,0.617441
98,0.609109
99,0.615877
100,0.607153
101,0.607387
102,0.606923
103,0.674187
104,0.606161
105,0.606168
106,0.604358
107,0.60436
108,0.606174
109,0.604353
110,0.604147
111,0.60559
112,0.606565
113,0.607729
114,0.605703
115,0.604458
116,0.604459
117,0.603664
118,0.603629
119,0.602474
120,0.602483
121,0.603235
122,0.603826
123,0.603966
124,0.604692
125,0.604525
126,0.60436
127,0.604245
128,0.604596
129,0.597199
130,0.595537
131,0.593284
132,0.595782
133,0.595783
134,0.591519
135,0.593494
136,0.592435
137,0.59272
138,0.592296
139,0.592069
140,0.592918
141,0.604524
142,0.566805
143,0.571074
144,0.605862
145,0.606321
146,0.60632
147,0.60632
148,0.60046
149,0.598211
150,0.600519
151,0.601415
152,0.600686
153,0.60047
154,0.59988
155,0.60038
156,0.600059
157,0.600094
158,0.599616
159,0.596601
160,0.591253
161,0.601053
162,0.601049
163,0.60046
164,0.600426
165,0.60045
166,0.600468
167,0.601316
168,0.600888
169,0.600489
170,0.60039
171,0.597867
172,0.598232
173,0.600188
174,0.600549
175,0.600468
176,0.600464
177,0.600398
178,0.600744
179,0.601362
180,0.600686
181,0.600036
182,0.600708
183,0.600059
184,0.600762
185,0.600769
186,0.600744
187,0.600611
188,0.600177
189,0.600263
190,0.599879
191,0.600295
192,0.600143
193,0.60035
194,0.599852
195,0.601192
196,0.599887
197,0.599886
198,0.600271
199,0.60127
200,0.601298
201,0.601195
202,0.600838
203,0.60367
204,0.599392
205,0.600509
206,0.600472
207,0.600356
208,0.601276
209,0.600376
210,0.599932
