step,x1,y1,x2,y2,...,energy
0,9.9985e-06,4.99925e-06,0.999898,0.0100018,-0.00999646,0.999896,-0.0785288
10,0.000648657,0.000351808,0.993283,0.109893,-0.109538,0.993178,-0.0785368
20,0.00222789,0.00130616,0.976513,0.208841,-0.207584,0.976196,-0.0785449
30,0.00468623,0.00296151,0.949684,0.305826,-0.303093,0.949119,-0.0785529
40,0.00795464,0.00540657,0.912969,0.399827,-0.39503,0.912215,-0.0785609
50,0.0119567,0.00872499,0.86662,0.489822,-0.482374,0.865857,-0.0785687
60,0.0166089,0.0129952,0.810975,0.574786,-0.564128,0.810524,-0.0785766
70,0.0218205,0.01829,0.746461,0.653695,-0.639333,0.74681,-0.0785843
80,0.0274938,0.0246764,0.673605,0.725525,-0.707085,0.67542,-0.0785919
90,0.0335237,0.0322156,0.593037,0.789256,-0.766549,0.597175,-0.0785995
100,0.0397979,0.0409622,0.505513,0.843878,-0.816983,0.512999,-0.0786069
110,0.046196,0.0509641,0.411917,0.888399,-0.857754,0.423919,-0.0786142
120,0.0525892,0.062262,0.313286,0.921858,-0.888357,0.331045,-0.0786214
130,0.0588393,0.0748883,0.210824,0.943341,-0.908434,0.235552,-0.0786285
140,0.0647971,0.0888658,0.105921,0.952011,-0.917783,0.138662,-0.0786352
150,0.0703017,0.104206,0.000169464,0.947137,-0.916373,0.0416119,-0.0786414
160,0.0751788,0.120904,-0.104619,0.928143,-0.904339,-0.0543704,-0.0786469
170,0.07924,0.138939,-0.206408,0.894662,-0.881985,-0.148096,-0.0786512
180,0.0822826,0.158261,-0.30294,0.846612,-0.849771,-0.238443,-0.0786537
190,0.0840915,0.178791,-0.391767,0.784277,-0.808295,-0.324379,-0.0786535
200,0.0844438,0.200409,-0.470298,0.708399,-0.758278,-0.404977,-0.0786497
210,0.0831168,0.222944,-0.5359,0.620274,-0.700536,-0.479437,-0.0786411
220,0.0799013,0.246172,-0.586035,0.521824,-0.635955,-0.547081,-0.0786268
230,0.0746184,0.269805,-0.61845,0.415629,-0.565467,-0.607361,-0.0786059
240,0.0671414,0.293503,-0.631399,0.304898,-0.490031,-0.659849,-0.0785784
250,0.0574173,0.316878,-0.623869,0.193335,-0.410608,-0.704224,-0.078545
260,0.0454848,0.339521,-0.595772,0.0849192,-0.328154,-0.740258,-0.0785076
270,0.0314834,0.361031,-0.548033,-0.016411,-0.243603,-0.767794,-0.0784687
280,0.0156497,0.381046,-0.482564,-0.107098,-0.157867,-0.786726,-0.0784314
290,-0.00170019,0.399276,-0.402081,-0.184275,-0.0718347,-0.796972,-0.0783983
300,-0.0201981,0.415521,-0.309832,-0.245985,0.0136273,-0.798447,-0.0783715
310,-0.0394565,0.429678,-0.209269,-0.291266,0.097669,-0.791036,-0.0783523
320,-0.0590987,0.441739,-0.103738,-0.320116,0.17945,-0.774554,-0.078341
330,-0.0787829,0.451772,0.00376168,-0.333364,0.258135,-0.748714,-0.0783381
340,-0.0982172,0.459903,0.110732,-0.332495,0.33288,-0.713071,-0.0783443
350,-0.117166,0.466295,0.215253,-0.319482,0.402817,-0.666944,-0.0783625
360,-0.13545,0.471131,0.315991,-0.296666,0.467018,-0.609281,-0.0783998
370,-0.152939,0.474594,0.412191,-0.266766,0.524406,-0.538338,-0.0784773
380,-0.169547,0.47686,0.503679,-0.233205,0.573579,-0.450793,-0.0786811
390,-0.185216,0.478091,0.590982,-0.201934,0.612359,-0.337953,-0.0797841
400,-0.199911,0.478427,0.653256,-0.193355,0.68171,-0.161826,-0.130107
410,-0.213599,0.47799,0.728201,-0.130023,0.705584,-0.0797523,-0.114516
420,-0.226251,0.476897,0.762402,-0.0493088,0.790219,-0.0193189,-0.140199
430,-0.237848,0.475258,0.812955,0.0329283,0.821059,0.0489902,-0.181731
440,-0.248381,0.473177,0.856094,0.158648,0.845436,0.039173,-0.100903
450,-0.257849,0.470754,0.897463,0.238967,0.852061,0.126994,-0.102329
460,-0.266258,0.468079,0.907733,0.281768,0.899685,0.29488,-0.161722
470,-0.273609,0.46524,0.837883,0.396355,1.08641,0.322485,0.00208263
480,-0.279887,0.462325,0.776851,0.50926,1.23405,0.354983,0.00139788
490,-0.285056,0.459436,0.709184,0.620988,1.37276,0.389311,0.00123826
500,-0.289072,0.456699,0.632808,0.730759,1.50582,0.424496,0.00117434
510,-0.291898,0.454271,0.546663,0.837226,1.63464,0.460136,0.00115071
520,-0.293523,0.452333,0.450216,0.938659,1.76003,0.496022,0.00115445
530,-0.293974,0.451091,0.343471,1.03307,1.88254,0.532029,0.00118108
540,-0.293334,0.450757,0.227053,1.11839,2.00257,0.568077,0.00122656
550,-0.291746,0.451524,0.102246,1.1927,2.12043,0.604116,0.00128456
560,-0.28941,0.453545,-0.0290804,1.2545,2.23637,0.640112,0.00134649
570,-0.286562,0.456905,-0.164667,1.30293,2.35057,0.67604,0.00140349
580,-0.283445,0.461621,-0.302148,1.33785,2.4632,0.711887,0.00144885
590,-0.280288,0.467639,-0.439322,1.35979,2.5744,0.747642,0.00147948
600,-0.27728,0.47486,-0.574344,1.36975,2.68428,0.7833,0.00149566
610,-0.274566,0.483153,-0.705815,1.36904,2.79295,0.818857,0.00149983
620,-0.272248,0.492378,-0.83277,1.35907,2.9005,0.854313,0.00149518
630,-0.270388,0.502397,-0.954617,1.34119,3.007,0.889667,0.00148476
640,-0.269021,0.513085,-1.07106,1.31669,3.11253,0.92492,0.001471
650,-0.268157,0.524328,-1.182,1.28669,3.21715,0.960075,0.00145569
660,-0.267795,0.536029,-1.2875,1.25214,3.32091,0.995133,0.00144002
670,-0.267921,0.548106,-1.38772,1.21389,3.42386,1.0301,0.00142471
680,-0.268518,0.560491,-1.48285,1.17261,3.52606,1.06497,0.00141018
690,-0.269563,0.573123,-1.57314,1.12889,3.62754,1.09975,0.00139666
700,-0.271035,0.585957,-1.65882,1.08321,3.72834,1.13445,0.00138422
710,-0.272909,0.59895,-1.74016,1.03597,3.8285,1.16906,0.00137285
720,-0.275164,0.612069,-1.81739,0.987516,3.92805,1.20359,0.00136251
730,-0.277776,0.625286,-1.89075,0.938116,4.02702,1.23804,0.00135312
740,-0.280726,0.638578,-1.96045,0.888008,4.12543,1.27242,0.00134462
750,-0.283995,0.651925,-2.02672,0.837389,4.22332,1.30672,0.00133692
760,-0.287563,0.66531,-2.08973,0.786424,4.32071,1.34096,0.00132993
770,-0.291414,0.678719,-2.14967,0.735253,4.41762,1.37512,0.00132358
780,-0.295533,0.69214,-2.2067,0.683993,4.51407,1.40922,0.00131782
790,-0.299905,0.705563,-2.26099,0.632746,4.61007,1.44325,0.00131256
800,-0.304516,0.71898,-2.31267,0.581594,4.70566,1.47722,0.00130777
810,-0.309355,0.732383,-2.36187,0.530612,4.80084,1.51113,0.00130339
820,-0.314409,0.745765,-2.40873,0.47986,4.89563,1.54497,0.00129937
830,-0.319667,0.759122,-2.45335,0.429392,4.99005,1.57877,0.00129569
840,-0.325121,0.77245,-2.49585,0.379252,5.08411,1.6125,0.0012923
850,-0.33076,0.785743,-2.53631,0.329479,5.17782,1.64619,0.00128918
860,-0.336577,0.798999,-2.57483,0.280106,5.2712,1.67982,0.00128629
870,-0.342563,0.812214,-2.6115,0.231162,5.36425,1.7134,0.00128363
880,-0.348711,0.825387,-2.64639,0.182672,5.457,1.74692,0.00128116
890,-0.355013,0.838514,-2.67959,0.134656,5.54944,1.78041,0.00127886
900,-0.361464,0.851595,-2.71115,0.0871322,5.64159,1.81384,0.00127673
910,-0.368058,0.864627,-2.74116,0.0401165,5.73347,1.84723,0.00127474
920,-0.374788,0.877609,-2.76965,-0.00637802,5.82507,1.88057,0.00127289
930,-0.38165,0.89054,-2.79671,-0.0523399,5.91641,1.91388,0.00127115
940,-0.388638,0.903419,-2.82237,-0.0977595,6.00749,1.94714,0.00126953
950,-0.395748,0.916245,-2.84668,-0.142628,6.09833,1.98035,0.00126801
960,-0.402976,0.929017,-2.86971,-0.18694,6.18893,2.01353,0.00126658
970,-0.410316,0.941735,-2.89148,-0.230687,6.27929,2.04667,0.00126524
980,-0.417766,0.954398,-2.91205,-0.273867,6.36943,2.07977,0.00126398
990,-0.425322,0.967006,-2.93146,-0.316473,6.45935,2.11284,0.00126278
