point_index,cluster_label
0,0
1,1
2,2
3,1
4,4
5,5
6,9
7,7
8,8
9,9
10,5
11,4
12,3
13,8
14,8
15,9
16,8
17,6
18,8
19,2
20,5
21,5
22,3
23,8
24,3
25,3
26,4
27,1
28,4
29,3
30,7
31,8
32,9
33,8
34,7
35,3
36,2
37,3
38,3
39,7
40,7
41,2
42,8
43,7
44,3
45,3
46,5
47,7
48,7
49,9
50,0
51,6
52,7
53,3
54,9
55,8
56,2
57,1
58,2
59,7
60,1
61,6
62,4
63,5
64,2
65,7
66,0
67,5
68,8
69,5
70,4
71,4
72,4
73,6
74,7
75,5
76,8
77,8
78,3
79,0
80,5
81,8
82,3
83,5
84,8
85,4
86,9
87,2
88,7
89,7
90,1
91,3
92,7
93,4
94,4
95,1
96,7
97,7
98,3
99,0
100,4
101,3
102,8
103,7
104,3
105,0
106,5
107,1
108,4
109,4
110,8
111,3
112,7
113,0
114,6
115,4
116,8
117,7
118,4
119,4
120,8
121,7
122,7
123,9
124,7
125,1
126,7
127,3
128,4
129,0
130,7
131,7
132,8
133,7
134,8
135,8
136,3
137,8
138,2
139,3
140,6
141,4
142,5
143,1
144,7
145,9
146,1
147,5
148,7
149,1
150,3
151,6
152,8
153,4
154,9
155,7
156,7
157,8
158,7
159,3
160,6
161,1
162,7
163,2
164,9
165,7
166,8
167,6
168,8
169,3
170,3
171,4
172,5
173,3
174,1
175,1
176,8
177,1
178,5
179,3
180,3
181,0
182,8
183,3
184,2
185,1
186,7
187,3
188,4
189,9
190,7
191,9
192,7
193,8
194,4
195,5
196,9
197,3
198,1
199,5
200,8
201,6
202,7
203,2
204,1
205,3
206,1
207,8
208,8
209,9
210,5
211,8
212,1
213,7
214,7
215,7
216,2
217,8
218,9
219,1
220,8
221,7
222,7
223,6
224,9
225,5
226,4
227,6
228,8
229,9
230,7
231,7
232,6
233,7
234,7
235,1
236,5
237,6
238,9
239,0
240,3
241,7
242,3
243,8
244,8
245,6
246,7
247,0
248,6
249,1
250,0
251,8
252,9
253,7
254,8
255,7
256,5
257,5
258,2
259,5
260,3
261,8
262,7
263,3
264,7
265,3
266,9
267,7
268,1
269,2
270,7
271,7
272,6
273,6
274,8
275,8
276,3
277,3
278,7
279,0
280,8
281,0
282,7
283,7
284,8
285,1
286,0
287,5
288,3
289,8
290,4
291,5
292,2
293,5
294,3
295,7
296,3
297,3
298,7
299,8
300,8
301,8
302,5
303,8
304,1
305,0
306,8
307,2
308,4
309,9
310,1
311,4
312,8
313,4
314,9
315,5
316,4
317,8
318,5
319,2
320,3
321,3
322,4
323,8
324,4
325,5
326,0
327,0
328,3
329,8
330,0
331,8
332,7
333,2
334,9
335,2
336,1
337,8
338,8
339,7
340,1
341,7
342,2
343,2
344,1
345,7
346,3
347,0
348,5
349,5
350,6
351,4
352,4
353,1
354,8
355,7
356,1
357,3
358,8
359,7
360,7
361,8
362,9
363,0
364,1
365,7
366,4
367,8
368,6
369,1
370,1
371,7
372,0
373,9
374,1
375,4
376,1
377,7
378,4
379,8
380,2
381,1
382,7
383,4
384,6
385,7
386,8
387,6
388,4
389,8
390,7
391,4
392,2
393,8
394,8
395,8
396,5
397,1
398,0
399,8
400,4
401,8
402,4
403,3
404,7
405,7
406,8
407,4
408,6
409,4
410,3
411,9
412,4
413,7
414,1
415,5
416,9
417,5
418,0
419,1
420,4
421,8
422,1
423,5
424,2
425,7
426,8
427,2
428,1
429,9
430,6
431,7
432,3
433,7
434,1
435,3
436,7
437,5
438,6
439,4
440,3
441,7
442,1
443,7
444,2
445,3
446,9
447,7
448,5
449,7
450,2
451,3
452,5
453,7
454,7
455,8
456,8
457,5
458,7
459,7
460,3
461,3
462,8
463,9
464,7
465,8
466,8
467,7
468,8
469,8
470,4
471,5
472,5
473,1
474,9
475,8
476,0
477,8
478,7
479,1
480,4
481,5
482,7
483,8
484,1
485,5
486,3
487,3
488,3
489,7
490,5
491,3
492,2
493,6
494,5
495,7
496,7
497,4
498,4
499,4
500,8
501,6
502,7
503,1
504,7
505,8
506,7
507,7
508,3
509,8
510,1
511,8
512,3
513,8
514,0
515,7
516,5
517,4
518,0
519,9
520,0
521,9
522,3
523,1
524,8
525,0
526,6
527,9
528,3
529,8
530,8
531,7
532,8
533,9
534,5
535,8
536,7
537,7
538,8
539,8
540,8
541,8
542,7
543,6
544,1
545,5
546,4
547,6
548,5
549,8
550,3
551,4
552,2
553,7
554,3
555,9
556,8
557,7
558,7
559,7
560,8
561,6
562,2
563,7
564,5
565,7
566,4
567,3
568,8
569,8
570,5
571,8
572,3
573,3
574,8
575,5
576,3
577,8
578,8
579,5
580,7
581,5
582,1
583,1
584,0
585,7
586,5
587,6
588,5
589,6
590,7
591,3
592,5
593,7
594,3
595,3
596,7
597,4
598,3
599,4
600,8
601,9
602,4
603,3
604,3
605,8
606,7
607,7
608,5
609,6
610,5
611,8
612,9
613,3
614,8
615,0
616,1
617,1
618,2
619,4
620,1
621,7
622,8
623,2
624,5
625,0
626,7
627,3
628,1
629,8
630,0
631,3
632,1
633,5
634,8
635,9
636,4
637,3
638,8
639,1
640,8
641,4
642,4
643,6
644,2
645,1
646,4
647,1
648,3
649,7
650,4
651,8
652,1
653,8
654,7
655,5
656,8
657,8
658,8
659,7
660,1
661,9
662,6
663,2
664,9
665,7
666,4
667,6
668,6
669,7
670,8
671,7
672,7
673,3
674,8
675,3
676,8
677,6
678,3
679,7
680,3
681,1
682,7
683,4
684,7
685,8
686,6
687,3
688,8
689,4
690,8
691,4
692,8
693,3
694,2
695,6
696,9
697,3
698,3
699,5
700,5
701,7
702,5
703,3
704,5
705,4
706,8
707,5
708,8
709,2
710,3
711,4
712,8
713,7
714,7
715,3
716,1
717,5
718,6
719,7
720,6
721,8
722,3
723,1
724,5
725,6
726,8
727,1
728,6
729,6
730,3
731,1
732,2
733,5
734,8
735,8
736,4
737,8
738,7
739,1
740,7
741,7
742,7
743,8
744,8
745,8
746,1
747,8
748,2
749,1
750,3
751,8
752,7
753,7
754,4
755,1
756,7
757,1
758,9
759,1
760,7
761,7
762,8
763,1
764,7
765,7
766,8
767,5
768,5
769,7
770,9
771,8
772,8
773,8
774,4
775,0
776,7
777,1
778,7
779,8
780,7
781,5
782,0
783,9
784,8
785,7
786,4
787,8
788,3
789,8
790,7
791,1
792,0
793,8
794,7
795,8
796,1
797,5
798,4
799,5
800,7
801,9
802,1
803,7
804,7
805,8
806,5
807,6
808,7
809,2
810,6
811,7
812,8
813,4
814,5
815,8
816,0
817,2
818,6
819,1
820,6
821,7
822,8
823,5
824,8
825,1
826,5
827,4
828,6
829,4
830,3
831,5
832,1
833,6
834,1
835,5
836,8
837,8
838,2
839,8
840,8
841,2
842,8
843,7
844,8
845,8
846,7
847,3
848,4
849,5
850,4
851,4
852,5
853,3
854,4
855,6
856,2
857,5
858,9
859,5
860,1
861,3
862,5
863,8
864,7
865,1
866,8
867,3
868,9
869,7
870,7
871,2
872,1
873,4
874,7
875,8
876,7
877,1
878,6
879,7
880,5
881,0
882,7
883,7
884,8
885,2
886,7
887,8
888,7
889,7
890,1
891,7
892,0
893,8
894,8
895,8
896,5
897,0
898,8
899,1
900,7
901,1
902,8
903,2
904,5
905,8
906,4
907,4
908,7
909,5
910,7
911,2
912,7
913,7
914,1
915,3
916,7
917,8
918,3
919,5
920,9
921,3
922,8
923,3
924,7
925,6
926,1
927,8
928,3
929,0
930,8
931,7
932,7
933,7
934,7
935,3
936,4
937,7
938,1
939,5
940,9
941,3
942,8
943,1
944,0
945,2
946,2
947,8
948,7
949,1
950,6
951,7
952,6
953,0
954,3
955,8
956,8
957,3
958,1
959,3
960,5
961,8
962,0
963,7
964,5
965,2
966,4
967,1
968,9
969,1
970,0
971,2
972,7
973,7
974,8
975,4
976,4
977,4
978,8
979,7
980,3
981,1
982,8
983,7
984,5
985,7
986,7
987,0
988,5
989,7
990,4
991,7
992,2
993,8
994,8
995,4
996,7
997,8
998,8
999,6
1000,4
1001,8
1002,3
1003,7
1004,7
1005,9
1006,8
1007,0
1008,7
1009,5
1010,3
1011,1
1012,0
1013,7
1014,2
1015,6
1016,3
1017,2
1018,5
1019,8
1020,2
1021,4
1022,8
1023,3
1024,3
1025,6
1026,2
1027,0
1028,7
1029,1
1030,3
1031,8
1032,8
1033,6
1034,7
1035,8
1036,8
1037,7
1038,1
1039,8
1040,2
1041,7
1042,7
1043,8
1044,8
1045,9
1046,1
1047,7
1048,3
1049,4
1050,7
1051,3
1052,8
1053,7
1054,3
1055,7
1056,7
1057,9
1058,9
1059,7
