index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,reconstructed_0,reconstructed_1,reconstructed_2,reconstructed_3,reconstructed_4,reconstructed_5,reconstructed_6,reconstructed_7,reconstructed_8,reconstructed_9,reconstructed_10,reconstructed_11,reconstructed_12,reconstructed_13,reconstructed_14,reconstructed_15,reconstructed_16,reconstructed_17,reconstructed_18,reconstructed_19
0,0,0,0,0,0,0.365759,0,1.57926,0,1.14459,0,0,0,0,0,0,0,0,0,0,6.44475e-06,0.000153467,-3.51411e-06,1.20464e-06,-1.98889e-06,2.46619e-06,-1.22564e-06,-2.76808e-06,0.000641314,0.00048473,-0.00290846,0.0113431,-0.00812778,-0.00632408,0.0314591,0.352985,-0.016678,1.56101,-0.0163264,1.11859,0.00936836,-0.0131852,0.011482,0.00810094,0.036173,0.0064718,-0.00792854,-0.0303772,-0.0137524,0.0114203
1,0,0,0,-0.136019,0.630974,0,0,0.235601,0,0,0,0,0,0,-1.13185,0,0,0,0,-0.907847,0.000256399,-3.77908e-06,2.83078e-06,3.87878e-06,6.42809e-06,-7.37663e-07,-5.69869e-05,-1.052e-06,9.9078e-05,2.24784e-07,-0.0100893,-0.00338204,0.0317804,-0.145902,0.637556,-0.0181566,0.0132547,0.249758,-0.00279555,0.000709072,-0.00164866,-0.00452531,-0.00493776,0.00537822,0.00901987,0.0188755,-0.00691763,0.0065325,-0.00517189,0.00677287
2,0,0.900384,1.38895,0,-1.41727,0,0,0,0,0,0.170717,-0.489384,0,0,0,-1.49172,0.950155,0,0,0.734691,-0.00057383,8.1023e-06,-1.64595e-05,-0.000627552,0.00055441,0.000384086,-1.40217e-05,-8.45649e-06,-4.7904e-06,-5.37461e-06,0.00752009,0.883269,1.34262,-0.0673939,-1.42053,0.0387024,-0.0772963,-0.0226641,-0.0423956,-0.0264324,-0.000847604,0.0572088,-0.0127099,-0.0322293,-0.0384456,-1.51367,0.00805337,-0.00974193,-0.0399773,-0.00885723
3,0,0.485057,1.23202,0,0,0,0,0,0,0,0,0,1.20919,0,0.998444,0,0,0,0,0,7.13403e-06,-1.58091e-07,-5.89812e-06,9.32343e-07,0.000499469,0.000207714,-1.26493e-05,-1.23551e-06,5.6294e-06,-7.88379e-06,-0.00785268,0.479357,1.22949,-0.0618616,0.0354591,-0.000952603,-0.0277199,0.0283264,-0.0105298,-0.0382586,0.0112662,0.0201587,-0.0248996,-0.0210444,-0.0115842,0.00460835,0.00353952,0.0119201,-0.00588258,4.05349e-05
4,-1.34166,0,0,0,0,-0.854808,0,0,0,0,0,0,1.06795,0,1.04506,0,0.136736,1.38375,0,0,6.25816e-06,-0.000364754,-4.26935e-06,-7.04946e-07,2.70727e-07,-3.37404e-07,2.80752e-06,-4.15299e-06,1.29494e-07,1.76997e-06,0.004367,-0.00166888,0.0014699,0.0134515,0.0299528,-0.854808,-0.0196081,0.000901812,0.00395891,0.00834274,-0.00335023,-0.00259136,0.00512234,-0.0082393,-0.0088634,-0.00330145,-0.00828394,0.00305461,-0.0196123,0.00278295
5,0,0,0,0,0,0.52734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.86073e-06,0.00022502,2.63381e-06,4.34889e-07,-1.67015e-07,2.08148e-07,-1.73199e-06,2.56202e-06,-7.9886e-08,-1.09191e-06,-0.00269405,0.00102955,-0.000906795,-0.00829835,-0.0184782,0.52734,0.0120965,-0.000556337,-0.00244229,-0.00514673,0.00206679,0.00159863,-0.00316002,0.00508291,0.00546793,0.0020367,0.00511045,-0.00188442,0.012099,-0.00171683
6,0,0,0,0,-0.894426,-1.5917,0,0,-0.889562,0,0,0,0,0,0,0,0,0,-0.614858,0,-0.000350078,-0.000676149,-1.20855e-05,-7.62599e-06,-6.5486e-06,5.15178e-06,5.27979e-06,-0.000263684,-1.40573e-06,1.30948e-06,0.0304191,0.0242216,-0.0318327,0.0254819,-0.839335,-1.57696,-0.0559659,-0.00677833,0.00625591,0.00652074,-0.0107091,-0.00486954,0.0196819,-0.0190111,-0.0213974,-0.0365806,-0.0165203,-0.0122604,-0.652316,-0.00151115
7,0,0,0,-0.54383,0,-0.340386,0,0.625429,0,0,0,0,0,1.23344,0,0.0569039,0,1.62184,0,-1.06051,6.75334e-06,-0.000143682,-2.40684e-06,2.54613e-05,6.81294e-06,3.87663e-06,-0.000219999,-5.26467e-06,0.00025667,-2.52888e-06,0.00360727,0.0185956,0.0339457,-0.544281,0.0330952,-0.333088,-0.011115,0.631663,-0.00622019,-0.0124549,-0.0102143,-0.00133463,-0.00102501,0.00492324,0.00882775,0.0653222,-0.00951414,-0.00581006,-0.0254145,0.0143258
8,0,1.27519,0,0,0,0,-0.540472,0.385221,0,0,0,0,0,0,0,0,0,0,0,0,-5.46452e-06,-2.36615e-06,-0.000237016,5.7312e-06,3.6296e-06,0.000548654,-9.8529e-06,-8.35379e-06,0.000158901,2.15738e-06,0.0164993,1.27255,0.0175585,-0.047482,-0.0252757,-0.0108127,-0.545311,0.392721,0.00593414,0.0094021,-0.000446245,-0.00297299,-0.000995876,-2.90809e-05,-0.0112668,0.0268152,-0.0234705,0.00210066,-0.039768,0.0135354
9,0,0,0,-0.482354,0,0,0,0,0,-0.0532837,-0.217888,0,0,0,-0.93561,0,0,0,0,-0.0861274,1.06069e-06,1.53498e-06,1.60119e-06,1.70571e-07,3.6958e-06,3.61331e-06,-0.000195238,-1.6022e-06,1.04009e-06,-2.38972e-05,-0.00553139,0.0173387,0.0182072,-0.48301,0.00536418,0.00734581,0.00758327,0.00522319,-0.00308286,-0.0585829,-0.00865557,-0.00222131,-0.00225899,0.00169697,0.00354832,0.000932625,0.0018365,0.0023367,-0.00788081,0.00508088
