index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,component_0,component_1,component_2,component_3,component_4,reconstructed_0,reconstructed_1,reconstructed_2,reconstructed_3,reconstructed_4,reconstructed_5,reconstructed_6,reconstructed_7,reconstructed_8,reconstructed_9,reconstructed_10,reconstructed_11,reconstructed_12,reconstructed_13,reconstructed_14,reconstructed_15,reconstructed_16,reconstructed_17,reconstructed_18,reconstructed_19
0,0,0,0,0,0,0.365759,0,1.57926,0,1.14459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,-0.136019,0.630974,0,0,0.235601,0,0,0,0,0,0,-1.13185,0,0,0,0,-0.907847,-0.000461542,-5.03762e-07,1.78196e-06,3.82366e-06,-3.27454e-06,0.00104228,0.0181147,0.00706753,0.00987156,-0.00918351,-0.0112428,-0.00945998,-0.0131423,0.00237208,-0.0134093,0.00754819,0.0100182,-0.00249779,0.00102045,-1.13185,-0.0157407,0.0136569,-0.025519,0.00847723,-0.0178512
2,0,0.900384,1.38895,0,-1.41727,0,0,0,0,0,0.170717,-0.489384,0,0,0,-1.49172,0.950155,0,0,0.734691,-7.92757e-06,2.02103e-06,-1.00511e-05,0.000381955,-0.000619383,-0.00489697,0.872357,0.001184,-0.0184568,-0.0250002,-0.00246598,-0.00490269,-0.0136418,-0.0270177,0.0184471,-0.0124973,0.0182672,0.0100331,-0.00532783,-0.0378718,-1.47372,-0.01251,-0.000514358,-0.0475009,0.00152417
3,0,0.485057,1.23202,0,0,0,0,0,0,0,0,0,1.20919,0,0.998444,0,0,0,0,0,0.000405835,0.00048668,-7.79926e-06,0.000204914,2.98664e-06,0.0196617,0.465712,-0.0305847,-0.0156214,-0.0026653,0.00343924,0.0057206,0.00899393,0.00863588,0.0311763,-0.00887734,-0.0150713,1.20984,-0.035931,0.992373,0.0138761,-0.00812828,0.0367725,-0.0373886,0.0301945
4,-1.34166,0,0,0,0,-0.854808,0,0,0,0,0,0,1.06795,0,1.04506,0,0.136736,1.38375,0,0,0.000426611,0.000430197,-4.54448e-06,-4.15841e-06,1.27828e-06,0.0137601,-0.0196978,-0.0269583,-0.00637499,0.0018486,0.00435565,0.00597046,0.0106409,0.00482797,0.0264692,-0.00847137,-0.0110814,1.07026,-0.0298175,1.04735,0.00596331,-0.00381363,0.0350193,-0.0220129,0.0256604
5,0,0,0,0,0,0.52734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,-0.894426,-1.5917,0,0,-0.889562,0,0,0,0,0,0,0,0,0,-0.614858,0,1.00773e-06,1.78459e-06,-0.000255794,3.47963e-06,-1.87394e-06,0.00588727,0.0163642,-0.00226028,-0.00528701,-0.000488256,-0.00682183,0.0015398,0.00488764,-0.000837589,-0.000452926,-0.00338353,-0.00748423,0.00873203,-0.000339643,0.00479402,-0.00890776,-0.00695773,-0.00428517,-0.614858,-0.00313236
7,0,0,0,-0.54383,0,-0.340386,0,0.625429,0,0,0,0,0,1.23344,0,0.0569039,0,1.62184,0,-1.06051,1.72831e-07,-1.00259e-07,1.74896e-07,2.28727e-07,2.37741e-05,0.000463777,0.00106913,-0.000131222,-5.11279e-06,0.000722917,0.000118384,0.000222799,0.000456078,0.00122763,-0.000463214,0.000440036,-0.000991418,-0.000492364,3.77665e-05,0.000830796,0.0569039,4.95019e-05,0.00011089,0.000831371,0.000229021
8,0,1.27519,0,0,0,0,-0.540472,0.385221,0,0,0,0,0,0,0,0,0,0,0,0,-4.81089e-06,-8.60017e-07,-7.74167e-06,0.000549446,5.45247e-06,0.0102834,1.27519,-0.00319503,-0.0263297,-0.00856725,0.00090278,0.00132836,-0.00238765,0.00731399,0.00892836,-0.00136229,-0.0109373,-0.00407049,-0.00614352,-0.0227917,0.0254862,-0.0158798,0.00338857,-0.0364079,0.0106616
9,0,0,0,-0.482354,0,0,0,0,0,-0.0532837,-0.217888,0,0,0,-0.93561,0,0,0,0,-0.0861274,-0.000381519,-4.16419e-07,1.473e-06,3.1607e-06,-2.70679e-06,0.000861565,0.0149739,0.00584214,0.00816001,-0.00759125,-0.00929348,-0.00781979,-0.0108637,0.00196081,-0.0110843,0.00623947,0.00828123,-0.00206472,0.00084352,-0.93561,-0.0130115,0.011289,-0.0210945,0.00700743,-0.0147561
