Precision Setting,Significant Digits,FP64,FP32,FP16,BF16,E4M3,E5M2
1,1,0,95,0,0,1,0
1,2,0,95,0,0,1,0
1,3,73,22,0,0,1,0
1,4,73,22,0,0,1,0
1,5,73,22,0,0,1,0
1,6,73,22,0,0,1,0
1,7,73,22,1,0,0,0
1,8,74,22,0,0,0,0
1,9,75,20,0,0,1,0
1,10,75,20,0,0,1,0
2,1,0,95,0,0,0,1
2,2,0,95,1,0,0,0
2,3,73,22,0,0,0,1
2,4,73,22,0,0,0,1
2,5,73,22,0,0,0,1
2,6,73,22,1,0,0,0
2,7,73,22,1,0,0,0
2,8,74,22,0,0,0,0
2,9,75,20,0,0,0,1
2,10,75,20,0,0,0,1
3,1,0,80,0,0,16,0
3,2,0,81,0,0,15,0
3,3,73,13,0,3,7,0
3,4,73,13,0,1,9,0
3,5,73,13,0,1,9,0
3,6,73,13,0,1,9,0
3,7,73,13,0,3,7,0
3,8,74,14,0,1,7,0
3,9,75,11,0,1,9,0
3,10,75,11,0,1,9,0
4,1,0,80,0,0,0,16
4,2,0,81,0,1,0,14
4,3,73,13,0,2,0,8
4,4,73,13,0,1,0,9
4,5,73,13,0,1,0,9
4,6,0,0,0,0,0,0
4,7,0,0,0,0,0,0
4,8,0,0,0,0,0,0
4,9,0,0,0,0,0,0
4,10,0,0,0,0,0,0
